Total_Registered,Democratic,Republican,American_Independent,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
11841.0,3790.0,5218.0,517.0,80.0,83.0,28.0,0.0,2125.0,Plumas,Unincorporated Area,City,2011-02-10
166653.0,58698.0,69097.0,4741.0,658.0,923.0,512.0,1578.0,30446.0,Riverside,County Supervisorial 1,County Supervisorial,2011-02-10
150410.0,54521.0,60685.0,4022.0,534.0,885.0,486.0,1280.0,27997.0,Riverside,County Supervisorial 2,County Supervisorial,2011-02-10
222342.0,63699.0,106885.0,7273.0,663.0,1109.0,411.0,2181.0,40121.0,Riverside,County Supervisorial 3,County Supervisorial,2011-02-10
151455.0,63554.0,60524.0,3366.0,337.0,459.0,216.0,1162.0,21837.0,Riverside,County Supervisorial 4,County Supervisorial,2011-02-10
156803.0,67715.0,55269.0,4234.0,461.0,734.0,508.0,1368.0,26514.0,Riverside,County Supervisorial 5,County Supervisorial,2011-02-10
72019.0,25525.0,31279.0,2364.0,219.0,359.0,164.0,620.0,11489.0,Riverside,US Congressional 41,US Congressional,2011-02-10
276533.0,101153.0,111815.0,7485.0,1021.0,1546.0,877.0,2417.0,50219.0,Riverside,US Congressional 44,US Congressional,2011-02-10
357510.0,136567.0,147128.0,9428.0,966.0,1454.0,735.0,3109.0,58123.0,Riverside,US Congressional 45,US Congressional,2011-02-10
141601.0,44942.0,62238.0,4359.0,447.0,751.0,357.0,1423.0,27084.0,Riverside,US Congressional 49,US Congressional,2011-02-10
157502.0,61128.0,60430.0,4364.0,697.0,895.0,559.0,1456.0,27973.0,Riverside,State Senate 31,State Senate,2011-02-10
133581.0,34315.0,66154.0,4225.0,389.0,702.0,226.0,1384.0,26186.0,Riverside,State Senate 36,State Senate,2011-02-10
485594.0,177156.0,202226.0,13683.0,1419.0,2327.0,1197.0,4275.0,83311.0,Riverside,State Senate 37,State Senate,2011-02-10
70986.0,35588.0,23650.0,1364.0,148.0,186.0,151.0,454.0,9445.0,Riverside,State Senate 40,State Senate,2011-02-10
4546.0,1836.0,1728.0,134.0,22.0,21.0,16.0,31.0,758.0,Riverside,State Assembly 63,State Assembly,2011-02-10
243112.0,84098.0,104465.0,6751.0,945.0,1313.0,654.0,2172.0,42714.0,Riverside,State Assembly 64,State Assembly,2011-02-10
191218.0,71561.0,78308.0,5835.0,529.0,850.0,498.0,1776.0,31861.0,Riverside,State Assembly 65,State Assembly,2011-02-10
183598.0,57929.0,80954.0,5554.0,593.0,999.0,480.0,1851.0,35238.0,Riverside,State Assembly 66,State Assembly,2011-02-10
94260.0,32376.0,39718.0,2447.0,259.0,510.0,249.0,761.0,17940.0,Riverside,State Assembly 71,State Assembly,2011-02-10
130929.0,60387.0,47287.0,2915.0,305.0,417.0,236.0,978.0,18404.0,Riverside,State Assembly 80,State Assembly,2011-02-10
847663.0,308187.0,352460.0,23636.0,2653.0,4110.0,2133.0,7569.0,146915.0,Riverside,State Board of Equalization 3,State Board of Equalization,2011-02-10
12833.0,4962.0,5440.0,400.0,36.0,55.0,25.0,100.0,1815.0,Riverside,Banning,City,2011-02-10
14238.0,4902.0,5944.0,540.0,42.0,70.0,26.0,145.0,2569.0,Riverside,Beaumont,City,2011-02-10
4680.0,1978.0,1761.0,146.0,13.0,24.0,7.0,35.0,716.0,Riverside,Blythe,City,2011-02-10
4133.0,1252.0,2043.0,134.0,12.0,19.0,9.0,35.0,629.0,Riverside,Calimesa,City,2011-02-10
6017.0,1244.0,3562.0,216.0,17.0,32.0,11.0,47.0,888.0,Riverside,Canyon Lake,City,2011-02-10
18659.0,8385.0,6873.0,367.0,41.0,44.0,43.0,113.0,2793.0,Riverside,Cathedral City,City,2011-02-10
9167.0,6823.0,1423.0,66.0,9.0,12.0,19.0,29.0,786.0,Riverside,Coachella,City,2011-02-10
59074.0,19848.0,25533.0,1506.0,184.0,343.0,151.0,467.0,11042.0,Riverside,Corona,City,2011-02-10
8683.0,3837.0,3188.0,236.0,24.0,44.0,27.0,70.0,1257.0,Riverside,Desert Hot Springs,City,2011-02-10
17199.0,6680.0,6049.0,424.0,23.0,67.0,45.0,124.0,3787.0,Riverside,Eastvale,City,2011-02-10
33552.0,11355.0,15134.0,1125.0,87.0,137.0,63.0,321.0,5330.0,Riverside,Hemet,City,2011-02-10
2903.0,540.0,1870.0,70.0,4.0,7.0,1.0,18.0,393.0,Riverside,Indian Wells,City,2011-02-10
26458.0,12632.0,9409.0,538.0,53.0,66.0,45.0,173.0,3542.0,Riverside,Indio,City,2011-02-10
18262.0,5542.0,9180.0,521.0,27.0,58.0,20.0,166.0,2748.0,Riverside,La Quinta,City,2011-02-10
16874.0,5728.0,6560.0,526.0,65.0,101.0,59.0,175.0,3660.0,Riverside,Lake Elsinore,City,2011-02-10
35492.0,11226.0,16298.0,1197.0,87.0,169.0,65.0,337.0,6113.0,Riverside,Menifee,City,2011-02-10
67883.0,31558.0,21629.0,1644.0,182.0,322.0,236.0,568.0,11744.0,Riverside,Moreno Valley,City,2011-02-10
44691.0,11539.0,22350.0,1354.0,121.0,213.0,65.0,471.0,8578.0,Riverside,Murrieta,City,2011-02-10
11628.0,3122.0,6003.0,353.0,29.0,74.0,28.0,111.0,1908.0,Riverside,Norco,City,2011-02-10
23400.0,7323.0,11342.0,626.0,60.0,87.0,21.0,201.0,3740.0,Riverside,Palm Desert,City,2011-02-10
23166.0,11620.0,6913.0,548.0,90.0,80.0,30.0,207.0,3678.0,Riverside,Palm Springs,City,2011-02-10
18152.0,8905.0,4936.0,381.0,52.0,74.0,77.0,179.0,3548.0,Riverside,Perris,City,2011-02-10
9543.0,3096.0,4582.0,177.0,14.0,31.0,5.0,78.0,1560.0,Riverside,Rancho Mirage,City,2011-02-10
120074.0,46431.0,46156.0,3333.0,563.0,723.0,422.0,1131.0,21315.0,Riverside,Riverside,City,2011-02-10
15470.0,5467.0,6657.0,492.0,42.0,84.0,48.0,136.0,2544.0,Riverside,San Jacinto,City,2011-02-10
41959.0,10639.0,20829.0,1298.0,116.0,213.0,54.0,429.0,8381.0,Riverside,Temecula,City,2011-02-10
13689.0,3755.0,6520.0,452.0,57.0,88.0,39.0,167.0,2611.0,Riverside,Wildomar,City,2011-02-10
169784.0,57798.0,74276.0,4966.0,603.0,873.0,492.0,1536.0,29240.0,Riverside,Unincorporated Area,City,2011-02-10
129768.0,63370.0,33269.0,3562.0,1272.0,724.0,724.0,276.0,26571.0,Sacramento,County Supervisorial 1,County Supervisorial,2011-02-10
